Timestamp,Charge,Battery%
10,0,100
20,3640,100
30,7280,100
40,7280,100
50,10920,100
60,14560,100
70,18200,100
80,18200,100
90,21840,100
100,25480,100
110,29121,100
120,29121,100
130,32761,100
140,36401,100
150,40041,100
160,43681,100
170,47321,100
180,54602,100
190,61882,100
200,65522,100
210,65522,100
220,69162,100
230,72802,100
240,76442,100
250,80083,100
260,83723,100
270,87363,100
